circuitId,driverId,milliseconds,year,forename,surname
1,35,93421,1996,Jacques,Villeneuve
1,49,90585,1997,Heinz-Harald,Frentzen
1,57,91649,1998,Mika,Häkkinen
1,30,92112,1999,Michael,Schumacher
1,22,91481,2000,Rubens,Barrichello
1,30,88214,2001,Michael,Schumacher
1,8,88541,2002,Kimi,Räikkönen
1,8,87724,2003,Kimi,Räikkönen
1,30,84125,2004,Michael,Schumacher
1,4,85683,2005,Fernando,Alonso
1,8,86045,2006,Kimi,Räikkönen
1,8,85235,2007,Kimi,Räikkönen
1,5,87418,2008,Heikki,Kovalainen
1,3,87706,2009,Nico,Rosberg
1,17,88358,2010,Mark,Webber
1,13,88947,2011,Felipe,Massa
1,18,89187,2012,Jenson,Button
1,8,89274,2013,Kimi,Räikkönen
1,3,92478,2014,Nico,Rosberg
1,1,90945,2015,Lewis,Hamilton
1,817,88997,2016,Daniel,Ricciardo
1,8,86538,2017,Kimi,Räikkönen
1,817,85945,2018,Daniel,Ricciardo
1,822,85580,2019,Valtteri,Bottas
2,30,100267,1999,Michael,Schumacher
2,57,98543,2000,Mika,Häkkinen
2,57,100962,2001,Mika,Häkkinen
2,31,98049,2002,Juan,Pablo Montoya
2,30,96412,2003,Michael,Schumacher
2,31,94223,2004,Juan,Pablo Montoya
2,8,95483,2005,Kimi,Räikkönen
2,4,94803,2006,Fernando,Alonso
2,1,96701,2007,Lewis,Hamilton
2,2,95366,2008,Nick,Heidfeld
2,18,96641,2009,Jenson,Button
2,17,97054,2010,Mark,Webber
2,17,100571,2011,Mark,Webber
2,8,100722,2012,Kimi,Räikkönen
2,815,99199,2013,Sergio,Pérez
2,1,103066,2014,Lewis,Hamilton
2,3,102062,2015,Nico,Rosberg
2,3,96424,2016,Nico,Rosberg
2,20,94080,2017,Sebastian,Vettel
3,30,90252,2004,Michael,Schumacher
3,37,91447,2005,Pedro,de la Rosa
3,3,92408,2006,Nico,Rosberg
3,13,94067,2007,Felipe,Massa
3,5,93193,2008,Heikki,Kovalainen
3,15,94556,2009,Jarno,Trulli
3,4,118287,2010,Fernando,Alonso
3,20,96379,2012,Sebastian,Vettel
3,20,96961,2013,Sebastian,Vettel
3,3,97020,2014,Nico,Rosberg
3,8,96311,2015,Kimi,Räikkönen
3,3,94482,2016,Nico,Rosberg
3,1,92798,2017,Lewis,Hamilton
3,822,93740,2018,Valtteri,Bottas
3,844,93411,2019,Charles,Leclerc
3,847,55404,2020,George,Russell
3,822,92090,2021,Valtteri,Bottas
4,30,105517,1996,Michael,Schumacher
4,21,82242,1997,Giancarlo,Fisichella
4,57,84275,1998,Mika,Häkkinen
4,30,84982,1999,Michael,Schumacher
4,57,84470,2000,Mika,Häkkinen
4,30,81151,2001,Michael,Schumacher
4,30,80355,2002,Michael,Schumacher
4,22,80143,2003,Rubens,Barrichello
4,30,77450,2004,Michael,Schumacher
4,21,75641,2005,Giancarlo,Fisichella
4,13,76648,2006,Felipe,Massa
4,13,82680,2007,Felipe,Massa
4,8,81670,2008,Kimi,Räikkönen
4,22,82762,2009,Rubens,Barrichello
4,1,84357,2010,Lewis,Hamilton
4,1,86727,2011,Lewis,Hamilton
