location,country,circuitId,year,name,lat,lng,alt,TOT
Melbourne,Australia,1,2009,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2008,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2007,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2006,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2005,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2004,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2003,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2002,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2001,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2000,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,1999,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,1998,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,1997,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,1996,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2010,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2011,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2012,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2013,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2014,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2015,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2016,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2017,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2018,Albert Park Circuit,-37.8497,144.968,10,1.0
Melbourne,Australia,1,2019,Albert Park Circuit,-37.8497,144.968,10,1.0
Kuala Lumpur,Malaysia,2,2009,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2008,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2007,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2006,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2005,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2004,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2003,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2002,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2001,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2000,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,1999,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2010,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2011,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2012,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2013,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2014,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2015,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2016,Sepang International Circuit,2.76083,101.738,18,1.0
Kuala Lumpur,Malaysia,2,2017,Sepang International Circuit,2.76083,101.738,18,1.0
Shanghai,China,17,2009,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2008,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2007,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2006,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2005,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2004,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2010,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2011,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2012,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2013,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2014,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2015,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2016,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2017,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2018,Shanghai International Circuit,31.3389,121.22,5,1.0
Shanghai,China,17,2019,Shanghai International Circuit,31.3389,121.22,5,1.0
Sakhir,Bahrain,3,2009,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2008,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2007,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2006,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2005,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2004,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2010,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2012,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2013,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2014,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2015,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2016,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2017,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2018,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2019,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2020,Bahrain International Circuit,26.0325,50.5106,7,1.0
Sakhir,Bahrain,3,2020,Bahrain International Circuit,26.0325,50.5106,7,1.0
Montmeló,Spain,4,2009,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,2008,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,2007,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,2006,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,2005,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,2004,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,2003,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,2002,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,2001,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,2000,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,1999,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,1998,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
Montmeló,Spain,4,1997,Circuit de Barcelona-Catalunya,41.57,2.26111,109,1.0
